titulo,empresa,ubicacion,salario,tipo_contrato,skills,busqueda,url,modalidad,ciudad,salario_min,salario_max,salario_medio,es_outlier
data & ai strategy consultant,serem,100% en remoto,36.000€ - 45.000€ b/a,indefinido,"data strategy, artificial intelligence, ia",data-scientist,https://www.tecnoempleo.com/data-ai-strategy-consultant-serem/data-strategy-artificial-intelligence/rf-119b1cb4b28fa3c0da4d,En Remoto,100% en remoto,36000.0,45000.0,40500.0,False
data scientist modelos-empresas (cdaio),santander,madrid - españa,,indefinido,"pyspark, python, databricks",data-scientist,https://www.tecnoempleo.com/data-scientist-modelos-empresas-cdaio-santander/pyspark-python/rf-63f715add226e335c741,No especificado,madrid,,,,False
data engineer / aws & big data,accenture,sevilla - españa,,indefinido,"python, sql, aws",data-scientist,https://www.tecnoempleo.com/data-engineer-aws-big-data-accenture/python-sql/rf-ac211810a2d633c8bb40,No especificado,sevilla,,,,False
lead solution data architect,ey,madrid - españa,,indefinido,"gen ai, azure data services, databricks",data-scientist,https://www.tecnoempleo.com/lead-solution-data-architect-ey/gen-ai-azure-data-services/rf-e250173202c16399c642,No especificado,madrid,,,,False
analista programador/data scientist/bi,invoin,alcobendas - madrid (híbrido),,indefinido,"nodejs, javascript, react",data-scientist,https://www.tecnoempleo.com/analista-programador-data-scientist-bi-hibrido/nodejs-javascript-react-htm/rf-67431d3912e3b39a5c40,Híbrido,alcobendas - madrid,,,,False
data & ai data solutions architect,gfr technologies se,madrid - españa,,indefinido,"data, bi, databricks",data-scientist,https://www.tecnoempleo.com/data-ai-data-solutions-architect-gfr-technologies-/bi-databricks/rf-57e31a3112ce531ec04f,No especificado,madrid,,,,False
data architect,gfr technologies se,madrid - españa,,indefinido,"etl, data",data-scientist,https://www.tecnoempleo.com/data-architect-gfr-technologies-se/etl/rf-7d7a1e17021543e14c4f,No especificado,madrid,,,,False
líder trazabilidad y calidad datos,cajamar tecnología,almería (híbrido),,indefinido,"azure, sql, big data",data-scientist,https://www.tecnoempleo.com/lider-trazabilidad-calidad-datos-cajamar-tecnologi/azure-sql/rf-5cfb10bf5228e3ff1741,Híbrido,almería,,,,False
lead ai engineer,gfr technologies se,madrid - españa,,indefinido,"python, generative ai, data science",data-scientist,https://www.tecnoempleo.com/lead-ai-engineer-gfr-technologies-se/python-generative-ai/rf-c0fc1194e2c103c2a247,No especificado,madrid,,,,False
threat intel data scientist | cyber,deloitte,madrid - españa,,indefinido,"python, sql, machine learning",data-scientist,https://www.tecnoempleo.com/threat-intel-data-scientist-cyber-deloitte/python-sql/rf-27991b3b5247b3003b48,No especificado,madrid,,,,False
senior data scientist (ai & machine learning),sopra steria,valencia - españa,,indefinido,"python, machine learning, sql",data-scientist,https://www.tecnoempleo.com/senior-data-scientist-ai-machine-learning-sopra-st/python-machine-learning/rf-51d212f3c27f03faed41,No especificado,valencia,,,,False
senior data scientist (h/m),michael page,bizkaia (híbrido),,indefinido,"python, r, pandas",data-scientist,https://www.tecnoempleo.com/senior-data-scientist-h-m-michael-page/python-pandas/rf-a2321971928cc3360d43,Híbrido,bizkaia,,,,False
data analyst credit risk,aubay,madrid (híbrido),,indefinido,"camunda, bpmn, sql",data-scientist,https://www.tecnoempleo.com/data-analyst-credit-risk-aubay/camunda-bpmn/rf-d29c1fd2429433d5ba47,Híbrido,madrid,,,,False
data scientist - song,accenture,madrid - españa,,indefinido,"python, machine learning, aws",data-scientist,https://www.tecnoempleo.com/data-scientist-song-accenture/python-machine-learning/rf-d6891c1ff224e3787f42,No especificado,madrid,,,,False
"senior data scientist, commerce analytics",criteo,barcelona - españa,,indefinido,"sql, python, spark",data-scientist,https://www.tecnoempleo.com/senior-data-scientist-commerce-analytics-criteo/sql-python/rf-1f871f2b92a1b37a1547,No especificado,barcelona,,,,False
"staff data scientist, experimentation",wallapop,barcelona - españa,,indefinido,"sql, python, r",data-scientist,https://www.tecnoempleo.com/staff-data-scientist-experimentation-wallapop/sql-python/rf-cda9105092ac737e9349,No especificado,barcelona,,,,False
data & ai strategy data science analyst,accenture,madrid - españa,,indefinido,"python, machine learning, sql",data-scientist,https://www.tecnoempleo.com/data-ai-strategy-data-science-analyst-accenture/python-machine-learning/rf-f9ce101652ca23074647,No especificado,madrid,,,,False
data scientist,hays,bizkaia (híbrido),,indefinido,"python, fastapi, dash",data-scientist,https://www.tecnoempleo.com/data-scientist-hays/python-fastapi/rf-9fab14f4125523b35f42,Híbrido,bizkaia,,,,False
junior data aws engineer / ai engineer,devoteam,madrid - españa,,indefinido,"python, sql, aws",data-scientist,https://www.tecnoempleo.com/junior-data-aws-engineer-ai-engineer-devoteam/python-sql/rf-07361a6922b2e3202946,No especificado,madrid,,,,False
senior database administrator,talan,málaga - españa,,indefinido,sql server,data-scientist,https://www.tecnoempleo.com/senior-database-administrator-talan/sql-server/rf-74f81d4df237534c6542,No especificado,málaga,,,,False
freelance master data - trabajo flexible,michael page,100% en remoto,,temporal,"excel, power bi",data-scientist,https://www.tecnoempleo.com/freelance-master-data-trabajo-flexible-michael-pag/excel-power-bi/rf-7da8102fa2b8d367a247,En Remoto,100% en remoto,,,,False
junior data analyst (quicksight) - hibrido madrid,second window,madrid - españa,,indefinido,"amazon quicksight, python, sql",data-scientist,https://www.tecnoempleo.com/junior-data-analyst-quicksight-hibrido-madrid-seco/amazon-quicksight-pytho/rf-d1df1fc0922eb33b1f46,No especificado,madrid,,,,False
data engineer (ai & data),cmv consultores,100% en remoto,36.000€ - 45.000€ b/a,indefinido,"sql, etl, bigquery",data-scientist,https://www.tecnoempleo.com/data-engineer-ai-data-cmv-consultores/sql-etl/rf-65cf1509329ab31bba45,En Remoto,100% en remoto,36000.0,45000.0,40500.0,False
ai engineer (generative ai & data),gfr technologies se,madrid (híbrido),,indefinido,"python, tensorflow, pytorch",data-scientist,https://www.tecnoempleo.com/ai-engineer-generative-ai-data-gfr-technologies-se/python-tensorflow/rf-8b5a1483929883dc0344,Híbrido,madrid,,,,False
senior data engineer,epam,madrid - españa,,indefinido,"python, pandas, polars",data-scientist,https://www.tecnoempleo.com/senior-data-engineer-epam/python-pandas/rf-fbab129912a463333149,No especificado,madrid,,,,False
data scientist consultant,accenture,barcelona - españa,,indefinido,"python, r, sql",data-scientist,https://www.tecnoempleo.com/data-scientist-consultant-accenture/python-r/rf-f3c7118012eab3d33b45,No especificado,barcelona,,,,False
data scientist analyst for supply chain,accenture,barcelona - españa,,indefinido,"python, r, sql",data-scientist,https://www.tecnoempleo.com/data-scientist-analyst-for-supply-chain-accenture/python-sql/rf-9e391173a29f739fc94e,No especificado,barcelona,,,,False
data scientist,veepee,barcelona - españa,,indefinido,"python, sql, pandas",data-scientist,https://www.tecnoempleo.com/data-scientist-veepee/python-sql/rf-a5e91551029c4345b942,No especificado,barcelona,,,,False
senior data scientist,veepee,barcelona - españa,,indefinido,"python, sql",data-scientist,https://www.tecnoempleo.com/senior-data-scientist-veepee/python-sql/rf-ab801c26e2c123d33446,No especificado,barcelona,,,,False
genai engineer,seltime,100% en remoto,,indefinido,"python, tensorflow, pytorch",data-scientist,https://www.tecnoempleo.com/genai-engineer-seltime/python-tensorflow/rf-113f16aef27a0315c141,En Remoto,100% en remoto,,,,False
