titulo,empresa,ubicacion,salario,tipo_contrato,skills,busqueda,url
Data & AI Strategy Consultant,Serem,100% En remoto,36.000€ - 45.000€ b/a,Indefinido,"Data Strategy, Artificial Intelligence, IA",data-scientist,https://www.tecnoempleo.com/data-ai-strategy-consultant-serem/data-strategy-artificial-intelligence/rf-119b1cb4b28fa3c0da4d
RWE Data Scientist,Sanofi,Barcelona (Híbrido),,Indefinido,"data, machine learning, Deep Learning",data-scientist,https://www.tecnoempleo.com/rwe-data-scientist-sanofi/machine-learning-deep-learning/rf-0f271a35d225e32a0b4d
Data Scientist Modelos-Empresas (CDAIO),Santander,Madrid - España,,Indefinido,"PySpark, Python, Databricks",data-scientist,https://www.tecnoempleo.com/data-scientist-modelos-empresas-cdaio-santander/pyspark-python/rf-63f715add226e335c741
Analista Programador/Data Scientist/BI,Invoin,Alcobendas - Madrid (Híbrido),,Indefinido,"NodeJS, JavaScript, React",data-scientist,https://www.tecnoempleo.com/analista-programador-data-scientist-bi-hibrido/nodejs-javascript-react-htm/rf-67431d3912e3b39a5c40
Data Engineer / AWS & Big Data,Accenture,Barcelona - España,,Indefinido,"Python, SQL, AWS",data-scientist,https://www.tecnoempleo.com/data-engineer-aws-big-data-accenture/python-sql/rf-389d13b97207f3de774b
Lead Solution Data Architect,EY,Madrid - España,,Indefinido,"Gen AI, Azure Data Services, Databricks",data-scientist,https://www.tecnoempleo.com/lead-solution-data-architect-ey/gen-ai-azure-data-services/rf-e250173202c16399c642
Data & AI Data Solutions Architect,GFR Technologies SE,Madrid - España,,Indefinido,"data, BI, Databricks",data-scientist,https://www.tecnoempleo.com/data-ai-data-solutions-architect-gfr-technologies-/bi-databricks/rf-57e31a3112ce531ec04f
Data Architect,GFR Technologies SE,Madrid - España,,Indefinido,"ETL, data",data-scientist,https://www.tecnoempleo.com/data-architect-gfr-technologies-se/etl/rf-7d7a1e17021543e14c4f
Líder trazabilidad y calidad datos,Cajamar Tecnología,Almería (Híbrido),,Indefinido,"AZURE, SQL, Big Data",data-scientist,https://www.tecnoempleo.com/lider-trazabilidad-calidad-datos-cajamar-tecnologi/azure-sql/rf-5cfb10bf5228e3ff1741
Lead AI Engineer,GFR Technologies SE,Madrid - España,,Indefinido,"Python, Generative AI, Data Science",data-scientist,https://www.tecnoempleo.com/lead-ai-engineer-gfr-technologies-se/python-generative-ai/rf-c0fc1194e2c103c2a247
Data Scientist Senior,Sopra Steria,Madrid - España,,Indefinido,"IA Generativa, Machine Learning, Python",data-scientist,https://www.tecnoempleo.com/data-scientist-senior-sopra-steria/ia-generativa-machine-learning/rf-7f261495d22f83f0cd43
Senior Data Scientist (h/m),Michael Page,Bizkaia (Híbrido),,Indefinido,"Python, R, Pandas",data-scientist,https://www.tecnoempleo.com/senior-data-scientist-h-m-michael-page/python-pandas/rf-a2321971928cc3360d43
Senior Data Engineer,Talan,100% En remoto,,Indefinido,"PySpark, SQL, Python",data-scientist,https://www.tecnoempleo.com/senior-data-engineer-talan/pyspark-sql/rf-4a541bd912f113f9e64a
Data Analyst Credit Risk,Aubay,Madrid (Híbrido),,Indefinido,"Camunda, BPMN, SQL",data-scientist,https://www.tecnoempleo.com/data-analyst-credit-risk-aubay/camunda-bpmn/rf-d29c1fd2429433d5ba47
"Senior Data Scientist, Commerce Analytics",Criteo,Barcelona - España,,Indefinido,"SQL, Python, spark",data-scientist,https://www.tecnoempleo.com/senior-data-scientist-commerce-analytics-criteo/sql-python/rf-1f871f2b92a1b37a1547
Senior Data Scientist,Workato,Barcelona - España,,Indefinido,"Pythom, NLP, LLM",data-scientist,https://www.tecnoempleo.com/senior-data-scientist-workato/pythom-nlp/rf-763a1ae9220773f17a47
Threat Intel Data Scientist | Cyber,Deloitte,Madrid - España,,Indefinido,"Python, SQL, Machine Learning",data-scientist,https://www.tecnoempleo.com/threat-intel-data-scientist-cyber-deloitte/python-sql/rf-27991b3b5247b3003b48
Senior Data Engineer - ODS,Santander,Madrid - España,,Indefinido,"Spark, PySpark, SQL",data-scientist,https://www.tecnoempleo.com/senior-data-engineer-ods-santander/spark-pyspark/rf-be3a199e126d93f83148
Data Scientist,HAYS,Bizkaia (Híbrido),,Indefinido,"Python, FastAPI, Dash",data-scientist,https://www.tecnoempleo.com/data-scientist-hays/python-fastapi/rf-9fab14f4125523b35f42
Data Scientist - Song,Accenture,Madrid - España,,Indefinido,"Python, Machine Learning, AWS",data-scientist,https://www.tecnoempleo.com/data-scientist-song-accenture/python-machine-learning/rf-d6891c1ff224e3787f42
Senior Database Administrator,Talan,Málaga - España,,Indefinido,SQL Server,data-scientist,https://www.tecnoempleo.com/senior-database-administrator-talan/sql-server/rf-74f81d4df237534c6542
Senior Data Scientist (AI & Machine Learning),Sopra Steria,Valencia - España,,Indefinido,"Python, Machine Learning, SQL",data-scientist,https://www.tecnoempleo.com/senior-data-scientist-ai-machine-learning-sopra-st/python-machine-learning/rf-51d212f3c27f03faed41
Senior AI Engineer - GCP Consumer Data,Michael Page,Barcelona (Híbrido),,Indefinido,"SQL, BigQuery, Python",data-scientist,https://www.tecnoempleo.com/senior-ai-engineer-gcp-consumer-data-michael-page/sql-bigquery/rf-691a198552f2634a544c
Junior Data Analyst (Quicksight) - Hibrido Madrid,Second Window,Madrid - España,,Indefinido,"Amazon Quicksight, Python, SQL",data-scientist,https://www.tecnoempleo.com/junior-data-analyst-quicksight-hibrido-madrid-seco/amazon-quicksight-pytho/rf-d1df1fc0922eb33b1f46
Data & AI Strategy Data Science Analyst,Accenture,Madrid - España,,Indefinido,"Python, Machine Learning, SQL",data-scientist,https://www.tecnoempleo.com/data-ai-strategy-data-science-analyst-accenture/python-machine-learning/rf-f9ce101652ca23074647
Data Engineer (AI & Data),CMV Consultores,100% En remoto,36.000€ - 45.000€ b/a,Indefinido,"SQL, ETL, BigQuery",data-scientist,https://www.tecnoempleo.com/data-engineer-ai-data-cmv-consultores/sql-etl/rf-65cf1509329ab31bba45
AI Engineer (Generative AI & Data),GFR Technologies SE,Madrid (Híbrido),,Indefinido,"Python, TensorFlow, PyTorch",data-scientist,https://www.tecnoempleo.com/ai-engineer-generative-ai-data-gfr-technologies-se/python-tensorflow/rf-8b5a1483929883dc0344
Senior Data Engineer,EPAM,Madrid - España,,Indefinido,"Python, pandas, Polars",data-scientist,https://www.tecnoempleo.com/senior-data-engineer-epam/python-pandas/rf-fbab129912a463333149
Data Scientist Consultant,Accenture,Barcelona - España,,Indefinido,"Python, R, SQL",data-scientist,https://www.tecnoempleo.com/data-scientist-consultant-accenture/python-r/rf-f3c7118012eab3d33b45
Data Scientist,Veepee,Barcelona - España,,Indefinido,"Python, SQL, Pandas",data-scientist,https://www.tecnoempleo.com/data-scientist-veepee/python-sql/rf-a5e91551029c4345b942
Senior Data Scientist,Veepee,Barcelona - España,,Indefinido,"Python, SQL",data-scientist,https://www.tecnoempleo.com/senior-data-scientist-veepee/python-sql/rf-ab801c26e2c123d33446
"Analista Programador IA, BI",Incoming Domain,Madrid - España,21.000€ - 30.000€ b/a,Indefinido,"AWS, IAM, EC2",data-scientist,https://www.tecnoempleo.com/analista-programador-ia-bi-incoming-domain/aws-iam/rf-38021664327933990244
Forward Deployed AI Engineer (f/m/d),Axpo Group,Madrid - España,,Indefinido,"Python, LLM",data-scientist,https://www.tecnoempleo.com/forward-deployed-ai-engineer-f-m-d-axpo-group/python-llm/rf-fe041fd0e22293aec149
React Front-End Developer (4 months contract),Talan,Málaga (Híbrido),,A determinar,"react, TypeScript, Next",data-scientist,https://www.tecnoempleo.com/react-front-end-developer-4-months-contract-talan/typescript-next/rf-d0c3148eb22e230dcd46
Java Back-End Developer,Talan,Málaga (Híbrido),,Indefinido,"java, spring",data-scientist,https://www.tecnoempleo.com/java-back-end-developer-talan/spring/rf-801d11fdc2da435a544d
Senior ML/AI Engineer,WIZELINE,Barcelona - España,,Indefinido,"LLM, LangGraph, LangSmith",data-scientist,https://www.tecnoempleo.com/senior-ml-ai-engineer-wizeline/llm-langgraph/rf-91d21504b294830ef841
AI Transformation Analyst - WM&I,Santander,Madrid (Híbrido),,Indefinido,"PowerPoint, Excel, Power Platform",data-scientist,https://www.tecnoempleo.com/ai-transformation-analyst-wm-i-santander/powerpoint-excel/rf-68a01561629e03f7754e
MLOps / AI Platform Engineer,Serem,100% En remoto,,Indefinido,"mlops, azure, aws",data-scientist,https://www.tecnoempleo.com/mlops-ai-platform-engineer-serem/azure-aws/rf-a6e4196f02e873978246
Bioinformatics and AI Scientist,Michael Page,Barcelona (Presencial),,Indefinido,"R, Python, SQL",data-scientist,https://www.tecnoempleo.com/bioinformatics-and-ai-scientist-michael-page/python-sql/rf-d22c1614b264b3bb6447
"Analista Programador/a - Spark, Python, Pyspark",Baoss,Pontevedra España,,Indefinido,"Spark, Python, Pyspark",data-scientist,https://www.tecnoempleo.com/analista-programador-spark-python-pyspark-baoss/spark/rf-ab9a1ba38234132eb644
Full Stack Developer (Java-Angular),Talan,Málaga - España,,Indefinido,"java, angular",data-scientist,https://www.tecnoempleo.com/full-stack-developer-java-angular-talan/java/rf-731910261260e3dadb41
SSR Java Developer,Talan,Málaga - España,,Indefinido,"java, spring",data-scientist,https://www.tecnoempleo.com/ssr-java-developer-talan/spring/rf-0381131ea228b3e8144c
Python Machine Learning Engineer,UST,Madrid (Híbrido),,Indefinido,"Python, TensorFlow, PyTorch",data-scientist,https://www.tecnoempleo.com/python-machine-learning-engineer-ust/tensorflow-pytorch/rf-863415d4427e33c9014d
Ingeniero de IA,Michael Page,Madrid - España,54.000€ - 60.000€ b/a,Indefinido,"python, LLM, LangChain",data-scientist,https://www.tecnoempleo.com/ingeniero-ia-michael-page/python-llm/rf-ba6412b46240a39bbb46
Ingeniero Machine Learning,HAYS,Bizkaia (Presencial),45.000€ - 45.000€ b/a,Indefinido,"Python, Pandas, NumPy",data-scientist,https://www.tecnoempleo.com/ingeniero-machine-learning-hays/python-pandas/rf-a52b105792a4733b2844
Machine Learning Engineer 100% (f/m/d),Julius Baer,Madrid - España,,Indefinido,"Python, TensorFlow, PyTorch",data-scientist,https://www.tecnoempleo.com/machine-learning-engineer-100-f-m-d-julius-baer/python-tensorflow/rf-07841f98b255e361cf47
